2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01
CTX,APA,MYR,CPA,SEK,PDN,IOF,IOF,CQO,JBH,ARI,SKI,MND,BPT,IOF,AST,ARI,FXJ,ABC,HLS,BPT,DOW,BSL,MND,WHC,ABC,BPT,CRZ,CRZ,SGM,DLX,DOW,SUL,SUL,MTU,MSB,MQA,ENV,GEM,SCP,ENV,SAI,GEM,ARI,GFF,MND,IGO,SPO,IGO,IIN,OZL,SRX,MTS,MTS,SGH,ALG,NEC,AOG,MTS,WOR,IRE,NUF,GEM,NUF,SDF,IVC,IGO,PMV,GNC,IVC,SIG,SCP,BWP,BWP,GEM,SUL,CTD,CQR,FPH,CQR,FPH,IGO,NUF,GEM,IVC,ALU,SVW,CTD,FXJ,TPG,BKL,TPG,SGM,CSR,CSR,FPH,BAP,PDL,IGO,FPH,FPH,LYC,CSR,CSR,SVW,IRE,VOC,IRE,PDL,TNE,VVR,BRG,VVR,WPR,VOC,IRE,BWP,LYC,BWP,PMV,ARB,TNE,SGM,APE,BRG,TNE,CLW,LNK,TNE,CSR,IFL,LNK,HLS
JBH,RIV,BOQ,SEK,MCC,DJS,PNA,PDN,BLY,DJS,CQO,IOF,GNC,BLY,BPT,FXJ,GNC,FGX,LYC,ABC,SGM,MND,PNA,CGF,PNA,BPT,SGM,MYR,ALL,DOW,DOW,BPT,BPT,BPT,WHC,ENV,OZL,MSB,SCP,ENV,OZL,GEM,IVC,NVT,UGL,SCP,SGH,SUL,WHC,SPO,TPI,NVT,NST,PMV,MTS,MTS,MTS,VOC,SDF,IRE,OZL,OZL,NUF,LNK,IVC,PMV,BAP,GEM,IGO,WHC,BTT,CHC,SUL,CQR,FBU,BAP,HLS,NVT,CQR,BAP,INM,BWP,SCP,NVT,NVT,FXJ,HLS,HLS,SVW,NXT,FXJ,SVW,SVW,FXJ,SCP,ABC,BWP,SVW,SAR,SVW,TNE,JHG,VOC,GNC,IPH,IEL,BAP,PDL,TNE,WHC,FLT,IPH,NUF,NSR,WPR,NSR,ARB,SLR,BPT,CTD,APE,PMV,PBH,PLS,FBU,IFL,IFL,FBU,CSR,UWL,PNI,Z1P,MP1
CPA,PNA,SEK,CTX,CPA,CPA,CEU,ANN,IOF,SKI,BOQ,CQO,PNA,PNA,SKI,ARI,SKI,MND,FGX,FGX,DOW,BPT,MND,UGL,DOW,UGL,ABC,BPT,SUL,CRZ,SUL,SUL,IOF,IOF,FXL,AGO,RRL,MTU,ALG,OZL,WHC,WHC,ARI,SCP,IGO,UGL,MND,OZL,SUL,MIN,SPO,PMV,NEC,MIN,NVT,VOC,MMS,MTS,TPI,PMV,PMV,PMV,SDF,SDF,PTM,SGM,NUF,FBU,PMV,BAP,BWP,CQR,BAP,NVT,BWP,SIG,IGO,FPH,GEM,FPH,NVT,RWC,PTM,PTM,PTM,WTC,BKL,SCP,SCP,SAR,SVW,FBU,GNC,VOC,SGM,CTD,CTD,BAP,APX,CTD,CTD,WEB,TNE,VOC,BAP,PMV,BWP,CLW,VEA,VOC,PDL,IEL,WHC,PNV,NSR,WPR,SLR,ARB,NHF,MSB,SGM,FLT,TNE,NHF,PME,FLT,FBU,CIA,FBU,TPG,MP1,CTD,FLT
RIV,BOQ,CPA,BLY,CGF,TWE,MCC,BLY,SEK,SEK,IOF,CTX,CTX,FXJ,PNA,GNC,BLY,AGO,SGM,WHC,MND,SGM,CGF,IOF,UGL,IOF,IOF,MND,MYR,DLX,JBH,IOF,DOW,DOW,CDD,SCP,AGO,SCP,MSB,CDD,IGO,SCP,SCP,ALG,SGH,ARI,SUL,IGO,SWM,NUF,MYR,SDF,GEM,IGO,GEM,GEM,VOC,SAI,NVT,MTR3,TPI,TPI,AOG,CMW,CMW,SIG,SGM,SGM,IVC,SBM,IVC,BWP,CQR,SUL,HLS,BKL,GEM,SBM,SBM,MYX,VOC,VOC,FPH,BWP,SCP,IVC,NEC,SVW,NEC,CTD,SAR,SRX,SBM,BAP,WTC,BWP,SVW,BWP,WEB,TNE,IGO,CMW,CMW,PDL,BWP,BWP,SBM,BWP,PPT,PPT,IFL,SBM,VEA,BWP,CSR,PRU,NSR,PMV,MP1,CLW,TNE,VUK,CTD,TPG,CIA,CTD,PDL,IFL,HLS,PME,NSR,PNI,SFR
SEK,BLY,MCC,JBH,PDN,CGF,BLY,PNA,PNA,ARI,DJS,SEK,FXJ,SKI,FXJ,IOF,CTX,CGF,AGO,AWC,AST,CGF,BPT,AST,IOF,FGX,FGX,FLT,FGX,IOF,CRZ,CRZ,JBH,JBH,SAI,KAR,KAR,BKN,PNA,SAI,CHC,CHC,WHC,SRX,MTU,PNA,NEC,MYR,NEC,NST,SDF,WHC,PMV,GEM,MIN,AOG,SGH,NEC,ARB,AOG,SGM,SPO,PMV,AOG,AOG,CMW,MIN,SIG,BAP,GNC,CQR,IVC,SIG,BAP,BAP,BWP,SIG,INM,IGO,SPO,BAP,NVT,CGC,CGC,PLS,MND,NXT,FXJ,NXT,SCP,SRX,APT,IGO,GNC,IGO,GNC,IGO,NVT,IFL,WEB,GNC,PPT,GNC,PPT,TNE,PDL,PMV,VOC,BWP,BWP,PPT,NAN,BRG,VEA,NAN,VEA,WPR,LNK,APE,PNV,VUK,BWP,CCP,FBU,IFL,PDL,TNE,HLS,NSR,APE,PME,HLS,SGM
BOQ,JBH,BLY,CGF,AQP,MCC,ANN,AQP,AQP,CQO,CTX,ANN,IOF,MND,MND,DOW,IOF,WHC,AST,ANN,UGL,RRL,UGL,BSL,CGF,BSL,CGF,IOF,IOF,ALL,IOF,JBH,AST,AST,ALZ,SAI,MSB,RRL,IIN,CHC,SAI,IGO,NEC,SAI,ARI,NEC,ARI,NEC,LNG,SWM,PMV,AOG,AOG,NVT,VOC,MMS,GEM,NVT,NEC,NEC,SPO,SGM,BAP,CWY,NUF,MIN,CMW,BTT,CQR,BKL,BKL,SIG,GEM,GEM,INM,CTD,BKL,BKL,BAP,IGO,RWC,CGC,IRE,FPH,MND,SCP,SCP,BKL,HLS,FXJ,FBU,GNC,BAP,MYX,BWP,SVW,CMW,CGC,PPT,BWP,IEL,CTD,CTD,TNE,GNC,GNC,NUF,BAP,SBM,PMV,BWP,VEA,PMV,NUF,CMW,CSR,IRE,BWP,SBM,BWP,BWP,SGM,PMV,CCP,PBH,CDA,IRE,TNE,SGM,BAP,APE,TPG,CTD
MYR,SEK,JBH,DJS,AGO,FXJ,SEK,FXJ,DUE,IOF,DUE,DUE,SEK,CTX,CTX,MND,LYC,LYC,CGF,MND,GNC,UGL,AST,BPT,AST,AST,OZL,FGX,ANN,AST,ALL,ALL,ALL,ALL,AGO,MTU,PNA,SXL,MTU,MSB,CDD,AWE,IGO,IIN,IIN,IGO,PMV,BRS,PMV,MYR,NVT,MIN,SDF,AOG,IGO,SGH,NVT,ARB,EHE,SGM,AOG,AOG,SUL,MTR3,CWY,FPH,PMV,CMW,BTT,SUL,SUL,SUL,PMV,SIG,CTD,NVT,SUL,BAP,SPO,SBM,CQR,INM,BWP,HLS,WTC,IRE,SRX,NEC,BAL,NEC,SCP,BAP,PMV,RRL,BAP,SGM,ABC,CMW,BWP,IFL,IFL,NVT,IVC,CTD,SGM,VUK,TNE,PMV,PMV,GNC,GNC,CNU,IPH,FLT,PMV,MP1,PMV,Z1P,PDL,WPR,IFL,PME,PME,IFL,HLS,PME,HLS,PDL,FLT,HLS,HLS,NIC,WHC
BLY,CPA,CTX,AGO,RHC,AGO,APA,SEK,ANN,ANN,ANN,TAH,CQO,IOF,TAH,CTX,ANN,GNC,MND,CGF,HLS,AST,IOF,FGX,BPT,DOW,MND,AST,FLT,CGF,AST,AST,CRZ,CRZ,NUF,NUF,SCP,PNA,CHC,MTU,PMV,MTU,IIN,NEC,SAI,AWE,BRS,WHC,SAI,PMV,SWM,GEM,NVT,SDF,ALG,NVT,SAI,GEM,SAI,EVN,HLS,NEC,MTR3,BKW,IGO,SPO,CWY,BAP,AOG,CQR,PMV,PMV,BKL,INM,SIG,PMV,INM,GEM,INM,PMV,CGC,CQR,NVT,INM,BWP,SRX,IVC,NVT,BWP,BAP,NEC,SCP,SRX,PMV,PPT,PPT,NVT,ABC,CMW,IEL,PPT,PDL,PDL,BRG,NAN,IPH,CLW,PPT,BAP,CCP,CCP,URW,CMW,BAP,PNV,HLS,VEA,NHF,SLR,ARB,WPR,HLS,HLS,CTD,PDL,HLS,CTD,ORE,CTD,NSR,TPG,SFR,NIC
PNA,CGF,CGF,PDN,DJS,AQP,DJS,BSL,FXJ,DUE,SEK,CGF,SKI,CQO,DUE,SKI,BOQ,SGM,ANN,AST,AWC,HLS,FGX,BOQ,FGX,CGF,AST,CGF,AST,FLT,CGF,SGR,SKI,SKI,CHC,CDD,SXL,AGO,IGO,PMV,IIN,WSA,SRX,WSA,NEC,PMV,PNA,PMV,ABP,WHC,RFG,SIG,SIG,SIR,NEC,SIG,AHG,ABP,AHG,SDF,SDF,SDF,SGM,SUL,BAP,SUL,FBU,SBM,SIG,BTT,CTD,BAP,BPT,CMW,BKL,INM,BAP,SPO,RWC,INM,SBM,PTM,INM,SBM,HLS,HLS,NVT,SRX,SRX,SRX,WTC,WTC,WEB,SCP,CTD,IGO,SGM,TNE,ABC,PPT,CSR,BWP,WEB,BWP,IVC,CLW,PDL,GNC,NUF,IPH,WHC,IVC,URW,PMV,CQR,CMW,CSR,IFL,IFL,VUK,NAN,WPR,FBU,HLS,CDA,CIA,TPG,MP1,BAP,MP1,WHC,BAP,PNI
CGF,MYR,RHC,AQP,UGL,RHC,AQP,CEU,TAH,TAH,LYC,FXJ,LYC,DUE,BLY,BLY,DUE,BOQ,IOF,GNC,IOF,IOF,HLS,HLS,HLS,MND,ANN,SKI,DOW,SKI,FLT,SKI,SGR,SGR,IGO,SXL,MTU,CHC,SAI,IIN,PNA,IIN,AWE,AWE,CDD,SIG,AWE,PNA,BKN,SIG,SIG,NEC,MIN,WHC,EVN,SAI,ARB,SGH,GEM,ALG,BGA,BGA,RRL,WOR,SIG,BAP,FPH,SUL,SBM,PMV,BAP,BPT,AOG,AOG,CMW,AOG,SBM,AOG,CMW,RWC,PTM,HLS,HLS,ALU,IRE,SVW,MND,NXT,SAR,WTC,TPG,BWP,IRE,BKL,NVT,CSR,IFL,BKL,BAP,ABC,CMW,GNC,JHG,JHG,CLW,LYC,NAN,SBM,VOC,SBM,NAN,PMV,VUK,WHC,IFL,PMV,FLT,HLS,IRE,PDL,DRR,FBU,IFL,PBH,BPT,PPT,FLT,CTD,MP1,PNI,WEB,IFL,BAP
MCC,MCC,DJS,RHC,JHX,ARI,FXJ,APA,ARI,LYC,TAH,UGL,TAH,ANN,CGF,LYC,TAH,IOF,BOQ,CTX,FGX,FGX,ANN,ANN,MND,OZL,SKI,ANN,CGF,ANN,SKI,GNC,GNC,GNC,ALG,SDF,CDD,ALG,AGO,IGO,MTU,CDD,CDD,CDD,WSA,SAI,SAI,SAI,NUF,ABP,ALG,ALG,ABP,AHG,AOG,SHV,SHV,TNE,SIG,ARB,ARB,ARB,IGO,FPH,RRL,CWY,PTM,CWY,CMW,AOG,AOG,GEM,CMW,CTD,PMV,CMW,CMW,CMW,CGC,PTM,WEB,BAP,CQR,CQR,ALU,BWP,VOC,BWP,BKL,BWP,BAP,NUF,VOC,IRE,MYX,NUF,BKL,SGM,SGM,NVT,BWP,SBM,BWP,BAP,PPT,PPT,PPT,CCP,GNC,VEA,IPH,SLR,PNV,PDL,MSB,NAN,HLS,IRE,ELD,IRE,IRE,CCP,DRR,PME,TPG,MP1,PPT,UWL,PPT,PBH,SGM,APE,IRE
DJS,RHC,UGL,UGL,FXJ,UGL,TWE,UGL,UGL,FXJ,FXJ,LYC,DUE,TAH,ANN,DUE,CGF,CTX,GNC,SEK,CGF,GNC,SEK,TAH,BSL,SKI,TAH,DOW,SKI,TAH,TAH,CGF,DUE,DUE,MRM,FXL,FXL,CDD,BRG,BRG,SIG,SIG,SGH,NST,SIG,CDD,NUF,ABP,SIG,AOG,AOG,HT1,PNA,SIG,SIR,NEC,SIG,AHG,PGH,TPI,IGO,BAP,ARB,IGO,SUL,AOG,SPO,SAR,FPH,SYR,SBM,PTM,INM,PMV,AOG,PGH,FBU,RWC,BKL,CGC,CMW,BPT,MYO,BAP,CTD,NVT,BWP,PMV,VOC,HLS,BWP,PMV,SCP,BWP,BKL,BKL,NUF,NUF,CSR,CMW,NVT,IVC,SGM,IFL,PDL,NUF,CCP,NAN,APE,FBU,FBU,PPT,PPT,VUK,HLS,ELD,PPT,VEA,CQR,WEB,CCP,IRE,WEB,CQR,MP1,BWP,CHN,NSR,LNK,WEB,PDL,IRE,IFL
RHC,DJS,ALQ,JHX,ARI,JHX,UGL,TWE,CEU,AGO,UGL,SGM,UGL,CGF,UGL,TAH,AGO,ANN,WHC,IOF,OZL,TAH,TAH,SKI,ANN,HLS,HLS,TAH,AWC,SGR,HLS,TAH,TAH,TAH,IIN,ALG,SAI,AOG,CDD,PNA,RRL,SRX,WSA,MTU,NST,NUF,SIG,SIG,AOG,SAI,NEC,SWM,HT1,ALG,SAI,AHG,SWM,EHE,ABP,IGO,AHG,APO,APO,SIG,BKW,SBM,BTT,APO,TME,FPH,GEM,TNE,CTD,PGH,SBM,SPO,PGH,TNE,FBU,CMW,SVW,CMW,ALU,CTD,SYR,BAP,BAP,IVC,MND,BAL,ARB,IVC,NEC,FBU,FXJ,NVT,PPT,CQR,NVT,CSR,CGC,TNE,MND,WEB,HLS,TNE,GNC,IPH,FBU,PNV,BRG,NSR,FLT,IFL,IPH,GOR,CMW,CQR,SUL,DRR,MP1,IFL,CQR,WPR,CTD,IRE,UWL,FLT,TPG,BPT,LNK,SGM,APE
UGL,CSR,FXJ,FXJ,SGM,SGM,TAH,TAH,APA,UGL,CGF,AGO,ANN,UGL,SEK,CGF,SEK,SKI,CTX,SKI,ANN,SKI,BOQ,SEK,BOQ,ANN,DOW,HLS,TAH,BOQ,DUE,HLS,HLS,HLS,SXY,CHC,ALG,SAI,AOG,AGO,AWE,MSB,MTU,SIG,FXL,WSA,WSA,WSA,MYR,RFG,SAI,ABP,RFG,SAI,WHC,ARB,EVN,MMS,MMS,EHE,MYX,AHG,NEC,BAP,MIN,RRL,SIG,AOG,TNE,ARB,ARB,CTD,ARB,BPT,PGH,BPT,FPH,TME,TNE,SUL,FBU,SBM,SBM,IRE,SVW,CTD,PTM,SAR,BAP,ARB,IRE,NEC,MYX,SBM,FBU,CQR,CQR,WEB,TNE,SBM,BRG,MND,LYC,IVC,WEB,SGM,IPH,SGM,WEB,NAN,IVC,IFL,BAP,IPH,MP1,IPH,CQR,ELD,HLS,CQR,PPT,MP1,APX,ELD,BWP,BPT,CIA,TPG,WHC,LNK,IRE,WHC,INA
AQP,UGL,JHX,SGM,ALQ,BSL,CPA,RHC,TWE,SGM,SGM,CPA,CGF,TWE,LYC,ANN,UGL,UGL,AWC,BOQ,SKI,SEK,SKI,OZL,SKI,TAH,DUE,CPA,HLS,HLS,GNC,ANN,AWC,AWC,GWA,AOG,CHC,IIN,SIG,BKN,WSA,AOG,NUF,SGH,AWE,AOG,FXL,AHY,GMA,PGH,SIR,RFG,SWM,MND,AHG,TNE,EHE,PGH,TNE,BAP,APO,RRL,SWM,MYX,BPT,IGO,SUL,SPO,CTD,ALG,CMW,ARB,PGH,ARB,PTM,A2M,SPO,CGC,SUL,FBU,ARB,ALU,BAP,ARB,NXT,ORE,ARB,BAP,ARB,IVC,PMV,IRE,FBU,WEB,PMV,PMV,CSR,IRE,IEL,SGM,ABC,FBU,ABC,SGM,LYC,FBU,LYC,FBU,SGM,BAP,CQR,GOR,IFL,GOR,PDL,LYC,PRU,NSR,FLT,HLS,Z1P,RRL,WPR,BWP,PNV,SUL,NSR,CHN,BLD,FBU,BPT,INA,CIP
CSR,ALQ,AQP,ALQ,TTS,ALQ,BSL,CPA,RHC,CGF,CPA,RHC,SGM,LYC,CPA,SEK,SGM,TAH,SEK,UGL,TAH,ANN,CTX,AWC,OZL,BOQ,BOQ,DUE,CPA,CPA,ANN,AWC,ANN,ANN,MMS,PNA,SDF,GEM,SXL,AOG,BRG,PMV,SIG,PMV,AOG,SIR,ARB,NUF,BRS,NEC,IIN,PNA,AHG,MMS,SIG,ABP,ABP,SHV,SGH,MMS,BAP,MYX,MYR,APO,ARB,MYX,AOG,PTM,ARB,RSG,TNE,AOG,RWC,FPH,FPH,FBU,AOG,PMV,PMV,TME,PMV,ARB,CMW,NXT,CQR,NXT,IRE,CMW,IVC,VOC,IVC,SAR,BWP,NEC,NUF,BAP,MYO,PPT,CGC,BAP,MND,BAP,FBU,MND,CQR,NAN,CQR,CTD,IPH,NUF,NSR,BAP,GOR,CMW,IVC,CQR,SUL,RMS,PNV,RRL,HLS,DRR,BWP,BGA,EML,PBH,CDA,PPT,WPR,IRE,FBU,CCP,CCP
ALQ,AQP,SGM,TTS,MTS,MTS,CGF,ARI,CGF,CEU,APA,APA,AGO,CPA,RHC,UGL,WHC,SEK,SKI,DUE,BOQ,BOQ,DUE,DUE,SEK,DUE,BSL,SGR,SGR,AWC,SGR,DUE,CTX,CTX,PMV,GEM,SIG,SDF,SDF,AWE,AOG,NUF,AOG,FXL,PMV,AHG,CDD,AHG,AHG,GMA,ABP,SAI,SAI,MYR,MMS,IGO,REG,SIG,GMA,AHG,WOR,TNE,TNE,NEC,PBG,BKW,APO,FPH,WHC,TME,PGH,CMW,PTM,TME,TME,FPH,PMV,FBU,TME,BKL,SUL,PMV,ARB,CMW,BAP,PMV,PLS,ARB,PMV,PMV,HLS,HLS,NUF,HLS,MYO,MYO,IRE,CSR,IVC,CGC,IVC,ABC,BAP,LYC,IFL,IVC,PRN,CQR,NAN,SGM,BAP,FBU,PDL,PPT,PRU,IFL,CNU,SUL,NSR,CIM,RRL,PPT,BGA,CGC,PPT,WPR,BKW,SUL,WEB,SGM,HUB,PDL,FBU
JHX,JHX,MTS,MTS,BSL,TTS,RHC,CGF,CPA,APA,TWE,TWE,CPA,AGO,TWE,AGO,CPA,DUE,DUE,TAH,CTX,OZL,AWC,CTX,TAH,SEK,GNC,GNC,BOQ,DUE,CTX,FLT,FLT,FLT,LYC,MMS,AOG,FXL,RRL,MRM,AGO,SDF,ARB,AOG,SIR,ARB,AOG,AOG,MND,GXL,AHG,AHG,ALG,ARB,ARB,EVN,SFR,SWM,SFR,MYR,ALG,ISD,AHG,ARB,FPH,APO,ARB,ARB,SPO,TNE,SPO,RWC,TNE,PTM,BPT,BKW,BKW,BKW,GUD,SVW,ALU,FBU,SVW,MND,INM,PLS,SAR,MND,CMW,CQR,SFR,ARB,SAR,NUF,CQR,PLS,TNE,IFL,MND,FBU,FBU,IFL,CQR,FBU,CCP,HLS,HLS,WEB,CCP,CQR,PMV,CQR,CNU,CQR,ELD,PDL,NAN,BKW,DRR,SGM,CTD,CQR,ELD,WEB,WPR,RRL,BWP,WPR,CHN,PPT,WPR,CQR,CNI
FXJ,FXJ,TTS,ARI,BEN,BEN,AGO,JHX,SGM,CPA,RHC,SGR,TWE,RHC,AGO,CPA,RHC,AWC,UGL,OZL,SEK,AWC,OZL,CPA,AWC,GNC,CTX,BOQ,DUE,CIM,AWC,CTX,CPA,CPA,BRG,SXY,BRG,SIG,BKN,SDF,BKN,BRG,PMV,SIR,MRM,KAR,AHG,SDF,NST,AHG,GXL,TNE,TNE,TNE,ABP,SFR,GMA,MTR3,MYR,SIG,TNE,MMS,WOR,ALG,SBM,ARB,SAR,RWC,PTM,CMW,BPT,PGH,MYR,SBM,MYR,PTM,RWC,SUL,WEB,TNE,MMS,SUL,NXT,GXY,SAR,CQR,ORE,VOC,LYC,CMW,CMW,VOC,CQR,SAR,IRE,IRE,WEB,MYO,IRE,CQR,CQR,HLS,IFL,CQR,JHG,CCP,IVC,BRG,CTD,BRG,SBM,PDL,HLS,CNU,CNU,CNU,ELD,CMW,CMW,FBU,CQR,CTD,IRE,SUL,RRL,TPG,PBH,BKW,PBH,CNI,PPT,FBU,CQR
MTS,LYC,LYC,BEN,LYC,BLD,ARI,MCC,AGO,RHC,AGO,BLD,APA,SGR,SGM,SGM,AWC,CPA,TAH,BLD,DUE,DUE,SGR,GNC,DUE,CTX,CPA,AWC,BSL,GNC,CPA,CPA,CGF,CGF,SIG,IIN,NUF,IGO,FXL,RRL,MSB,AHG,MRM,BKN,BRS,FXL,SIR,GMA,PGH,WSA,TNE,MND,SIR,SWM,PGH,WHC,WHC,REG,JHC,MYX,MYR,ALG,TME,SWM,APO,TNE,SYR,TNE,GEM,SPO,FPH,MYR,SPO,RWC,SFR,SBM,TNE,ARB,ARB,MND,BGA,WEB,MND,SYR,PMV,MMS,MMS,LYC,IRE,SFR,CQR,CMW,CMW,MND,WEB,TNE,TME,HLS,CQR,IVC,SBM,CQR,HLS,IPH,BRG,ASL,PNV,HLS,BRG,NSR,NUF,CGC,NSR,ELD,FLT,RSG,APE,PRU,CTD,PPT,PDL,CIM,CGC,PDL,CCP,NSR,SUL,PRU,CCP,WPR,CQR,WEB,Z1P
TTS,SGM,PDN,BLD,BLD,CIM,JHX,AGO,JHX,JHX,SGR,JHX,SGR,SGM,APA,RHC,TWE,BLD,BLD,FDC,CIM,CTX,CPA,SGR,CPA,SGR,SGR,CTX,CTX,CTX,BOQ,CIM,BSL,BSL,PBG,BRG,IIN,KAR,AWE,SXL,FXL,ARB,AHG,AHG,BKN,BKN,ABP,MND,RFG,ARB,WSA,MYR,MYR,FXL,TNE,SIR,TNE,SFR,BPT,SAI,ISD,IGO,SIG,RRL,SWM,PBG,BKW,BKW,RWC,CTD,PTM,A2M,TME,SPO,TNE,CGC,BPT,WEB,AOG,SAR,SAR,MND,PMV,PMV,MYO,CMW,CMW,CQR,CQR,NVT,WEB,CQR,IVC,CQR,LYC,WEB,PMV,GEM,PMV,MND,SGM,PMV,BRG,NUF,NUF,CQR,SGM,IVC,IVC,MND,HLS,VUK,IVC,LYC,GOR,PPT,IFL,APE,MSB,MP1,FBU,NAN,MP1,NSR,IRE,CCP,WPR,CDA,IPH,LIC,BLD,CNI,TPG
PDN,TTS,BEN,BSL,CFX,TOL,SGM,SGM,BLD,TWE,MCC,TTS,RHC,APA,SGR,TWE,APA,CIM,QAN,QAN,BLD,CIM,GNC,CIM,SGR,CPA,SEK,BSL,GNC,BSL,CIM,BOQ,BOQ,BOQ,BDR,SIG,GEM,BRG,PMV,SIG,SDF,ABP,FXL,KAR,KAR,ABP,SDF,SIR,SDF,SIR,FXL,AHY,MND,ABP,SHV,GMA,BPT,MYR,REG,TNE,MMS,EHE,MIN,PBG,MYX,MMS,TNE,ACX,ALG,SAR,RWC,TME,SXL,TNE,RWC,TME,TME,PGH,BKW,SIG,MND,SVW,WEB,MMS,GXY,ARB,CQR,PTM,NVT,IRE,VOC,WEB,NVT,NVT,IVC,LYC,BKW,APX,MYO,BRG,BAP,BRG,CUV,HLS,PME,CTD,FBU,NUF,CQR,IVC,SGM,ARB,FBU,IVC,VUK,PNV,VUK,PDL,CIM,NSR,NSR,NSR,NSR,PPT,BGA,CQR,BPT,BWP,BKW,BKW,CCP,BLD,IMU
LYC,MTS,ARI,CWN,CWN,LYC,SGR,SGR,MCC,SGR,JHX,CIM,BLD,BLD,BEN,APA,BEN,BEN,CIM,CIM,CPA,CPA,BLD,FDC,CTX,AWC,AWC,SEK,CIM,SEK,BSL,QAN,MTS,MTS,ABP,VRT,PMV,MGX,SXY,SRX,NUF,SXY,MSB,NUF,AHG,SDF,BKN,RFG,PNA,TNE,MND,FXL,FXL,EHE,SFR,MIN,PGH,GUD,SHV,BGA,EHE,SIG,MYX,BPT,MTR3,MTR3,PGH,MYR,MYR,GEM,SYR,FPH,FPH,GXY,CGC,RWC,CGC,NXT,NXT,ARB,NXT,SYR,GXY,SVW,ORE,SYR,PMV,IRE,PLS,PTM,NVT,MYX,HLS,CMW,CMW,MYX,FBU,TME,BRG,PMV,HLS,SGM,NEA,PMV,RSG,BRG,WEB,MND,LYC,BKW,PNV,PNV,ELD,CGC,PPT,VUK,PDL,PPT,RMS,VEA,CIM,PDL,PPT,CDA,SUL,NWS,CCP,WHC,CIA,CQR,CHN,PRU,CIA
ARI,PDN,CWN,LYC,CIM,CWN,ALQ,BLD,SGR,BLD,BLD,MTS,AWC,AWC,BLD,BEN,BLD,OZL,CPA,CPA,QAN,FDC,CIM,QAN,GNC,FDC,FDC,CIM,ALQ,TOL,SEK,BSL,CIM,CIM,SFR,GWA,MRM,GWA,KAR,NUF,SRX,VRT,ABP,ARB,ARB,BRS,MRM,PGH,SIR,SDF,PGH,SIR,ARB,RFG,EHE,EHE,IGO,JHC,MTR3,JHC,RRL,PGH,SFR,TNE,TNE,SYR,SWM,TME,BKW,RWC,BKW,SPO,BKW,SFR,RSG,TNE,GUD,SVW,PGH,BGA,BKW,BGA,BGA,MYO,CMW,GEM,WEB,MMS,SFR,LYC,MND,NVT,ARB,IVC,HLS,HLS,GEM,IVC,BKW,MYO,PMV,BVS,NAN,ABC,PMV,MND,SIQ,BKW,MND,EML,APE,HLS,BVS,ARB,LYC,ARB,PNV,IPH,PME,NAN,WEB,SUL,SUL,APX,CQR,BGA,CQR,DRR,BWP,CCP,LIC,CIP,PPT
