2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01
DOW,HVN,IOF,IOF,CQO,IOF,DOW,CTX,DOW,ABC,MND,GNC,FGX,PDN,RRL,RRL,MYR,AUT,BPT,FLT,ALL,FLT,DLX,WHC,CRZ,SUL,DLX,JBH,DJS,DJS,GFF,DJS,PPT,PPT,NVT,BWP,GFF,CMW,OZL,UGL,GFF,SWM,GFF,ENV,GEM,MYR,NVT,MTU,MTU,NVT,CHC,SGH,IIN,OZL,SUL,NUF,NUF,IRE,OZL,CHC,NVT,CQR,BTT,PMV,BTT,IRE,GNC,SCP,SGM,SDF,NVT,GNC,BTT,RRL,FLT,MIN,FLT,SCP,WHC,TPG,IVC,SOL,GNC,IVC,CGC,TPG,IOF,CGC,IOF,SBM,SOL,CSR,CTD,ABC,RRL,NHF,TPG,WTC,GNC,SAR,RRL,VEA,VEA,MIN,FPH,WHC,WHC,VEA,CLW,NHF,WTC,LNK,IRE,IEL,LNK,LNK,ORA,VOC,IGO,TNE,TPG,VOC,BRG,FLT,APE,LNK,PMV,BAP,CNU,WHC,NHF,SGR,MFG
HVN,TAL,ABC,GFF,PNA,CQO,ABC,JBH,GNC,MND,AST,PRU,BLY,HLS,BSL,MYR,FGX,RRL,ARI,FXJ,MYR,WHC,CRZ,CRZ,SUL,PNA,PPT,PPT,JBH,GFF,OZL,SWM,ABC,ABC,QUB,CQR,CMW,MFG,CMW,WHC,MQA,ARI,CQR,MFG,CQR,SUL,OZL,CHC,CHC,SCP,GEM,BPT,SUL,SCP,SWM,IRE,SUL,ALG,IVC,NVT,CHC,DOW,CHC,IRE,FBU,CQR,SCP,IGO,SDF,HLS,NUF,NVT,NUF,NUF,NUF,FLT,RRL,IVC,MIN,IRE,NUF,IVC,SOL,SOL,SOL,SOL,SOL,IOF,HVN,HVN,SBM,SDF,CGC,CGC,PDL,PDL,SDF,MTS,SVW,SCP,TPG,NXT,NXT,IEL,VUK,CSR,VUK,CSR,CSR,CSR,CMW,NEC,VOC,LNK,BRG,SGR,MP1,CGF,ARB,IGO,BAP,CSR,NHF,LNK,SCP,CSR,APE,SGM,UWL,PMV,SCP,SCP,PMV
TAL,IOF,CEU,ANN,ANN,ANN,GNC,GNC,CTX,AST,BLY,MND,DJS,BSL,HLS,BSL,AUT,ALL,ALL,RRL,PNA,PRU,WHC,AUT,DLX,WHC,AUT,DJS,HVN,MYR,MND,ARI,MND,MND,BKN,UGL,IVC,OZL,IVC,QUB,UGL,GFF,UGL,UGL,MQA,GFF,GFF,LNG,SCP,SUL,SGH,MQA,CQR,IIN,CMW,SUL,IRE,IVC,CMW,CQR,CQR,GEM,IRE,CHC,WOR,BTT,WOR,CQR,NVT,CHC,HLS,FBU,SDF,IGO,SCP,BTT,MIN,MIN,IRE,CTD,IRE,SCP,IVC,BPT,IGO,BKL,FPH,GNC,GNC,NUF,IGO,HVN,CSR,NXT,FPH,IFL,NXT,HVN,VOC,PDL,JHG,SCP,IEL,TPG,SBM,VOC,TPG,MIN,WHC,CLW,VOC,WHC,CLW,SBM,NHF,CIM,LNK,CLW,ILU,NHF,CSR,BAP,LNK,SCP,LNK,CLW,BRG,IRE,IFL,PDL,ORA,PME,LTR
BBG,BBG,BBG,CEU,MYR,JBH,CTX,HLS,JBH,PRU,GNC,ABC,BSL,AST,AST,HLS,PNA,PNA,FXJ,DOW,AUT,DJS,DJS,ALL,ALL,DLX,SUL,DLX,ABC,IFL,PPT,HVN,SWM,SWM,MSB,QUB,MFG,AUT,MQA,IVC,QUB,QUB,PNA,GEM,SRX,NVT,MTU,GFF,GFF,ALG,LNG,SCP,CHC,IRE,NUF,SDF,OZL,CMW,IRE,NST,EVN,CSR,IVC,SGM,GNC,SCP,SDF,WOR,SCP,NVT,SDF,NUF,FBU,FBU,IGO,SCP,WHC,IRE,IVC,NVT,SCP,TPG,RWC,TPG,FPH,CGC,TPG,IGO,SDF,SDF,FPH,FPH,APT,FPH,NXT,VEA,APT,SCP,FPH,JHG,SVW,SVW,TPG,IRE,IRE,APX,IEL,TPG,TPG,MTS,CSR,CSR,CSR,CSR,NEC,BAP,CLW,BPT,VOC,CSR,PNV,LNK,TPG,PMV,SGM,SCP,PME,APE,SCP,SCP,CTD,ORA,CHN
ANN,ABC,GFF,PNA,CEU,CEU,HLS,DJS,BSL,BSL,MYR,PNA,BPT,DJS,BOQ,FGX,ABC,HLS,AUT,DJS,RRL,ABC,FLT,FLT,AGO,AUT,MYR,ALL,REA,JBH,SGM,ABC,SGM,SGM,PNA,MFG,BWP,IVC,BWP,BWP,IVC,CQR,SUL,PNA,IVC,SWM,MQA,MIN,NVT,MQA,NUF,TPI,SCP,NUF,BPT,PMV,SDF,PMV,EVN,MTS,FBU,MTR3,LNK,FBU,CHC,LNK,IVC,IVC,BWP,FBU,GNC,SDF,WHC,HLS,IVC,IVC,IRE,CTD,CTD,NUF,CTD,FPH,BPT,VOC,NUF,FPH,SBM,FPH,NUF,IGO,SDF,PPT,SDF,PDL,SAR,HVN,HVN,VOC,TPG,IGO,PDL,RRL,IGO,DMP,VEA,NXT,NXT,SCP,NXT,IRE,NHF,BWP,IEL,BRG,VEA,NHF,LYC,IGO,CSR,BAP,ORA,NHF,FLT,ARB,PMV,APE,CSR,CLW,CLW,CTD,CSR,BRG,PME
CEU,CEU,CSR,MYR,BOQ,CTX,SKI,BRS,MND,GNC,BSL,HLS,DOW,GNC,DJS,PDN,FXJ,BPT,PNA,AUT,FLT,LYC,AUT,SGM,AUT,RRL,ARI,OZL,SGM,SUL,HVN,SGM,ARI,ARI,ENV,DMP,QUB,BWP,ENV,IRE,CQR,PNA,ALG,IRE,PTM,IIN,CHC,NVT,MIN,OZL,SCP,IGO,MQA,TPI,TPI,BPT,ALG,TPI,ALG,FBU,MTR3,IVC,SPO,GEM,IRE,GEM,IRE,SDF,IRE,BWP,SRX,SRX,RRL,SCP,IRE,GEM,SCP,HLS,SCP,IVC,BWP,CTD,TPG,RWC,GNC,PTM,SDF,NUF,SBM,BKL,HVN,CTD,RRL,HVN,GNC,WTC,PDL,SDF,CTD,APX,SCP,TPG,SVW,NXT,IEL,VEA,MIN,RRL,APX,CMW,APX,VVR,HVN,SLR,BAP,CLW,TNE,WPR,RRL,ILU,VOC,APX,ARB,BRG,BAP,PMV,SGM,CSR,IRE,CNU,BRG,CNU,CNU
ABC,HLS,ANN,BOQ,CTX,PNA,BOQ,BOQ,BOQ,AQP,SKI,BPT,AST,ABC,GNC,PNA,DOW,DOW,BLY,AGO,CRZ,CRZ,RRL,DOW,FLT,SGM,CRZ,ABC,UGL,REA,MYR,PPT,HVN,HVN,SXL,OZL,BKN,QUB,GFF,MQA,GEM,IRE,CHC,GFF,NVT,MTU,MYR,SCP,SGH,IGO,NST,IIN,NUF,CMW,OZL,OZL,TPI,EVN,PMV,CMW,CMW,CMW,FBU,SPO,GEM,SDF,GEM,GNC,FBU,SGM,SCP,HLS,NVT,BTT,NVT,IRE,IVC,WHC,HLS,SCP,GEM,GEM,VOC,IGO,RWC,VOC,GNC,SDF,PPT,FPH,NUF,FXJ,HVN,SDF,SBM,RRL,FPH,VEA,PDL,VOC,SAR,IEL,FPH,FPH,NXT,BAP,APX,CMW,IRE,RRL,IRE,NUF,NAN,IRE,BWP,NEC,NHF,FLT,Z1P,IFL,FLT,SCP,SCP,BAP,PLS,SGM,SCP,Z1P,PMV,CLW,UWL,CSR,NVX
HLS,ANN,RIV,APA,APA,BLY,CQO,DOW,PRU,HLS,PNA,JBH,HLS,BOQ,CQO,ABC,AST,BLY,DOW,BPT,DJS,BSL,DOW,ABC,RRL,CRZ,ALL,SUL,MND,BPT,IFL,MYR,MYR,MYR,MQA,RRL,DMP,DMP,QUB,GFF,IRE,UGL,MFG,IGO,PNA,MQA,SCP,SWM,IIN,GFF,GFF,NST,TPI,NEC,SDF,TPI,NST,SDF,AOG,GEM,GEM,FBU,CWY,GNC,SPO,WOR,SRX,MIN,SUL,SCP,FBU,IRE,IRE,IRE,BTT,IGO,CQR,IGO,NVT,BWP,IGO,NUF,IGO,GNC,FXJ,NUF,NUF,SBM,FPH,GNC,PPT,IGO,FXJ,PPT,CGC,SDF,VOC,FPH,SCP,IRE,FLT,CSR,SCP,CMW,MIN,MIN,IRE,IEL,CMW,IEL,RRL,VOC,SBM,VOC,IRE,BWP,IGO,TNE,WPR,APE,CLW,CLW,CLW,TNE,FLT,CNU,LNK,PMV,APE,IFL,CLW,CLW,NSR
GFF,GFF,APA,RIV,JBH,APA,JBH,SKI,DJS,BOQ,HLS,DJS,ABC,DOW,ABC,BKN,MND,ARI,DJS,SGM,ABC,PNA,SGM,RRL,SGM,FLT,UGL,SGM,DLX,ABC,BPT,IFL,DLX,DLX,KAR,BKN,CQR,MQA,UGL,CQR,ALG,ALG,SAI,IVC,CHC,CHC,WHC,IIN,OZL,SGH,WHC,OZL,WHC,BPT,NST,SWM,PMV,IGO,IGO,IVC,IVC,IRE,CMW,PTM,PMV,PTM,MYX,NUF,BKL,SIG,CHC,RRL,SCP,IVC,SUL,HLS,BWP,MYX,MYX,GEM,HLS,IRE,GEM,SCP,VOC,SBM,FXJ,TPG,TPG,SVW,CTD,SBM,BKL,IGO,APT,VOC,VEA,IGO,WTC,GNC,NXT,IGO,SBM,SCP,CSR,IFL,VEA,NXT,RRL,FLT,TNE,CMW,SLR,NAN,SLR,MSB,VOC,SBM,PMV,Z1P,PMV,ORA,BAP,SGM,TNE,BRG,CNU,SCP,Z1P,BRG,CNU,FLT,CSR
APA,CTX,PNA,MCC,BLY,SEK,PDN,CQO,SKI,CTX,JBH,BOQ,BOQ,SEK,DOW,CQO,BPT,ABC,HLS,LYC,WHC,AUT,ABC,PNA,ABC,ALL,FLT,UGL,BPT,PPT,ABC,DLX,IFL,IFL,SCP,MQA,ENV,CQR,CQR,ALG,SCP,IVC,IRE,CHC,SCP,SGH,IIN,SGH,SPO,LNG,MIN,NUF,SRX,NST,PMV,NST,AOG,OZL,VOC,OZL,NEC,HLS,PTM,IVC,LNK,NUF,SBM,IRE,NUF,IRE,IRE,BKL,IVC,BKL,CQR,CQR,NVT,BWP,BWP,HLS,BKL,BKL,CTD,FXJ,SBM,GNC,CTD,BAL,CTD,PPT,GNC,BKL,PPT,SGM,SVW,SAR,WTC,CTD,NXT,NXT,WEB,FPH,PPT,SVW,VOC,SBM,CSR,TNE,IEL,PDL,VEA,SVW,BWP,CLW,CLW,VOC,CIM,CSR,CLW,BRG,BRG,APE,APE,CLW,CLW,FBU,MP1,CNU,PDL,ORA,BAP,NSR,LNK
